kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,ADD,50000,0.000755295,66199296.016,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,ADD,50000,0.003000734,16662587.164,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,ADD,50000,0.001592984,31387633.324,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADD,50000,0.000012949,3861338933.741,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADD,50000,0.000386471,129375837.289,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADD,50000,0.000013991,3573719272.437,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADD,50000,0.000362825,137807527.974,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,SUBTRACT,50000,0.000566756,88221418.343,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,SUBTRACT,50000,0.000798228,62638776.880,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,SUBTRACT,50000,0.000792379,63101133.537,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000013050,3831439718.817,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,SUBTRACT,50000,0.000402645,124178874.916,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000013179,3793872602.643,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,SUBTRACT,50000,0.000384808,129934989.536,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,ADDMOD,50000,0.002061703,24251790.135,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,ADDMOD,50000,0.001787591,27970596.304,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,ADDMOD,50000,0.001921002,26028082.521,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000010916,4580516707.549,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,ADDMOD,50000,0.000382545,130703598.378,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000010645,4697033350.831,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,ADDMOD,50000,0.000391187,127816060.605,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,SUBTRACTMOD,50000,0.001661093,30100656.071,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,SUBTRACTMOD,50000,0.001115563,44820404.950,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,SUBTRACTMOD,50000,0.001356162,36868760.771,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000010876,4597284740.538,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,SUBTRACTMOD,50000,0.000395885,126299313.597,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.000011187,4469454811.855,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,SUBTRACTMOD,50000,0.000393551,127048387.494,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000946155,52845465.509,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001030475,48521295.713,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.001141556,43799878.236,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000019309,2589482398.621,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000479550,104264392.626,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000019519,2561590342.820,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,secp256k1,256,MULTIPLYOPERANDSCANNING,50000,0.000467582,106933083.431,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000942532,53048624.480,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000875561,57106260.749,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000987169,50649913.458,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000021091,2370683499.476,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,secp256k1,256,MULTIPLYPRODUCTSCANNING,50000,0.000464068,107742824.474,0
